"id","x","y","eame","heth"
2652,591534.292,442689.4008,0,0
2653,592814.4462,443127.9641,0,1
2654,591011.9924,441770.5207,0,0
2655,592923.3026,441862.7472,0,0
2656,591587.2605,441852.3623,0,1
2657,595809.7409,447184.8276,0,0
2658,599352.1942,446733.8548,0,0
2659,595811.5696,446687.1531,1,0
2660,596853.2351,447098.21,0,0
2661,596388.3049,445926.2529,0,1
2662,599069.4974,434242.4473,0,0
2663,597267.3531,437459.1747,0,0
2664,598020.8252,437849.1943,0,0
2665,598718.8623,436887.7512,1,0
2666,596135.5804,437471.4098,0,0
2667,495228.5584,550073.0542,0,0
2668,492750.9363,552428.5713,0,1
2669,492497.2462,553609.5388,0,1
2670,494091.2774,550699.7801,0,1
2671,489401.3026,553367.2094,0,1
2672,495957.616,555778.4266,0,1
2673,496110.3271,556677.7399,0,1
2674,496296.3615,554822.8066,0,0
2675,497311.1596,554633.5268,0,1
2676,498094.1255,557219.331,0,1
2677,500232.4981,546133.6446,0,0
2678,496081.5916,548502.1746,0,1
2679,499732.3402,546153.009,0,0
2680,498973.2276,546922.0606,0,0
2681,497735.5103,546634.1304,0,1
2682,474362.4678,357484.1522,0,0
2683,472026.9887,355713.4276,0,0
2684,473798.7311,356963.7873,0,0
2685,473264.7267,356788.6804,0,0
2686,473718.84,358230.5075,0,1
2687,471465.8779,356378.328,0,0
2688,473319.3551,357916.7434,0,0
2689,474782.318,360928.8302,0,0
2690,475606.9667,364164.2543,0,0
2691,477087.5988,360025.081,0,0
2692,475636.5359,363162.2246,0,0
2693,475673.5036,360725.1548,0,0
2694,475150.4478,360688.6629,0,0
2695,475314.7281,353928.0295,0,0
2696,476314.6715,351336.925,0,1
2697,474923.6016,350808.5838,0,0
2698,477832.807,354784.6668,1,0
2699,476246.4385,352252.5519,0,0
2700,475539.4992,350616.7667,0,1
2701,475331.7578,354908.6321,0,1
2702,477410.4642,354554.1035,1,0
2703,688504.0082,497571.4219,0,0
2704,690993.8642,498247.776,0,0
2705,690384.2487,497864.6655,0,0
2706,688560.9216,495919.9241,0,0
2707,690126.4005,498771.5799,0,1
2708,692732.4803,504236.4125,0,0
2709,696703.2794,504337.2835,1,1
2710,694907.6863,504312.3022,0,0
2711,694891.2214,501714.9116,0,0
2712,695954.857,505130.3924,1,0
2713,573544.6014,246236.9403,1,0
2714,574594.035,246242.9158,0,0
2715,576098.0281,247882.9373,0,0
2716,575867.8903,246256.4104,0,0
2717,572493.5879,247843.5478,0,0
2718,579777.9197,252931.0787,0,0
2719,578373.7385,251436.5286,0,0
2720,579783.4463,252386.97,0,0
2721,577334.4754,249507.753,0,0
2722,576614.6607,248808.8658,1,0
2723,578345.1076,240837.601,0,0
2724,576677.2795,243959.8105,0,0
2725,580473.3968,243119.0471,0,0
